_id,UNIT_NO,YEAR,MAKE,MODEL,CATEGORY,CAT_DESC,UNIT_TYPE,CATEGORY_CLASS,CAT_GRP,IN_SERV_DT,STATUS_DESC,CLASS2,HIGH_PRIORITY,OWNER_DIVISION,REF_DIVISION,SEASONAL,AVAILABILITY_YTD,unit_key_int,fleet_age,Utilization,specialized_units,REF_USING_DIV,owner_division_key,using_division_key
33,001093,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-11-15,Active Unit,FLEE,None,SOLID WASTE MANAGEMENT,SOLID WASTE MANAGEMENT,Non Seasonal,0.9266963485663083,1093,7,Not Underutilized,No,SOLID WASTE MANAGEMENT,16,16
34,001097,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-11-15,Active Unit,FLEE,None,SOLID WASTE MANAGEMENT,SOLID WASTE MANAGEMENT,Non Seasonal,0.8775806451612903,1097,7,Not Underutilized,No,SOLID WASTE MANAGEMENT,16,16
35,001098,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-11-15,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9749064740143369,1098,7,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
36,001099,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-11,Active Unit,ABC,None,TORONTO HOUSING COMPANY,TORONTO HOUSING COMPANY,Non Seasonal,1.0,1099,7,Underutilized,No,TORONTO HOUSING COMPANY,18,18
37,001100,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-11,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9842193100358423,1100,7,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
38,001101,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-17,Replacement Program,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9300016801075269,1101,7,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
39,001102,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2017-11-13,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.9895463709677419,1102,6,Not Underutilized,No,TORONTO BUILDING,17,17
40,001103,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2017-11-13,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.9114622535842294,1103,6,Not Underutilized,No,TORONTO BUILDING,17,17
41,001104,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2017-11-13,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,1.0,1104,6,Not Underutilized,No,TORONTO BUILDING,17,17
42,001105,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2017-11-13,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,1.0,1105,6,Not Underutilized,No,TORONTO BUILDING,17,17
43,001106,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2017-11-13,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,1.0,1106,6,Not Underutilized,No,TORONTO BUILDING,17,17
44,001107,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2017-11-13,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,1.0,1107,6,Not Underutilized,No,TORONTO BUILDING,17,17
45,001108,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2017-12-13,Replacement Program,FLEE,None,FACILITIES MGMT & REAL ESTATE,FACILITIES MGMT & REAL ESTATE,Non Seasonal,0.8800218413978494,1108,6,Not Underutilized,No,FACILITIES MGMT & REAL ESTATE,5,5
46,001111,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-01-04,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,1.0,1111,6,Not Underutilized,No,TORONTO BUILDING,17,17
47,001112,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-01-04,Replacement Program,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.8089068100358423,1112,6,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
48,001113,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-01-04,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9785965501792114,1113,6,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
49,001114,2018,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-05-16,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,1.0,1114,5,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
50,001115,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2017-12-13,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.8855264336917562,1115,6,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
51,001116,2017,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-01-04,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.7353875448028674,1116,6,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
52,001117,2018,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-01-04,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.8668038754480286,1117,5,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
53,001118,2018,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2017-12-29,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,1.0,1118,5,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
54,001119,2018,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-01-04,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.9294108422939068,1119,5,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
55,001120,2018,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-01-10,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.8815742607526882,1120,5,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
56,001121,2018,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-01-10,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,1.0,1121,5,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
57,001122,2018,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-01-18,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,1.0,1122,5,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
58,001123,2018,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-01-18,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,1.0,1123,5,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
59,001124,2018,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2018-02-21,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.7622289426523297,1124,5,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
