_id,UNIT_NO,YEAR,MAKE,MODEL,CATEGORY,CAT_DESC,UNIT_TYPE,CATEGORY_CLASS,CAT_GRP,IN_SERV_DT,STATUS_DESC,CLASS2,HIGH_PRIORITY,OWNER_DIVISION,REF_DIVISION,SEASONAL,AVAILABILITY_YTD
891,047061,2011,FORD,RANGER,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2010-09-13,Replacement Program,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.908881608422939
892,047068,2011,FORD,RANGER,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2010-09-21,Replacement Program,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.922789538530466
893,047072,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-04-28,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.913096438172043
894,047073,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-04-28,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.8225806451612904
895,047074,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-09-25,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,1
896,047075,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-09-25,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9169774865591398
897,047076,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-09-25,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9171572580645161
898,047077,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-09-25,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9532017249103942
899,047078,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-09-25,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.8828046594982079
900,047079,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-10-02,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.7877262544802868
