_id,UNIT_NO,YEAR,MAKE,MODEL,Specialized units,REF_USING_DIV,Utilization
99,003201,2012,TOYOTA,PRIUS C,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
100,003323,2023,CHEVROLET,BOLT EUV,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
101,006026,2013,TOYOTA,CAMRY HYB,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
102,020042,2020,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
103,020043,2020,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
104,020045,2020,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
105,020046,2020,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
106,020048,2020,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Underutilized
107,020049,2020,CHEVROLET,SPARK LS,No,"ENVIRONMENT, CLIMATE & FORESTR",Underutilized
108,041165,2014,FORD,ESCAPE,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
109,041424,2023,CHEVROLET,EQUINOX,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
110,041531,2024,CHEVROLET,EQUINOX EV,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
111,041533,2024,CHEVROLET,EQUINOX EV,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
112,045042,2011,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
113,045044,2011,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
114,045045,2011,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
115,045056,2012,CHEVROLET,1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
116,045091,2014,DODGE,RAM 1500,Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
117,045092,2014,DODGE,RAM 1500,Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
118,045093,2014,DODGE,RAM 1500,Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
119,045095,2014,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
120,045096,2014,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
121,045098,2014,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
122,045121,2017,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
123,045122,2017,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
124,045123,2017,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
125,045124,2017,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
126,045125,2017,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
127,045126,2017,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
128,045127,2017,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
129,045128,2017,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Underutilized
130,045144,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
131,045145,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
132,045146,2019,DODGE,RAM 1500 (BIG HORN),No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
133,045151,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
